[ 17309.56640625],[ 17322.33398438],[ 17331.7421875],[ 17338.73242188],[ 17343.94726562],[ 17347.84960938],[ 17350.7734375],[ 17352.96484375],[ 17354.609375],[ 17355.84375]
[ 7840.34814453],[ 7827.00732422],[ 7818.71582031],[ 7813.47949219],[ 7810.13964844],[ 7807.99511719],[ 7806.61328125],[ 7805.72021484],[ 7805.14257812],[ 7804.76708984]
[ 14991.95019531],[ 14913.58398438],[ 14867.58691406],[ 14837.69921875],[ 14817.09960938],[ 14802.35546875],[ 14791.53125],[ 14783.44140625],[ 14777.31445312],[ 14772.62988281]
[ 17727.015625],[ 17837.83398438],[ 17956.57617188],[ 18072.84375],[ 18205.36914062],[ 18366.74023438],[ 18563.234375],[ 18802.5],[ 19093.84375],[ 19448.60546875]
[ 3709.87426758],[ 3656.99487305],[ 3627.07348633],[ 3610.89990234],[ 3602.53320312],[ 3598.33129883],[ 3596.25610352],[ 3595.24047852],[ 3594.74560547],[ 3594.50512695]
[ 11513.66015625],[ 11388.27148438],[ 11308.859375],[ 11257.79785156],[ 11224.68945312],[ 11203.1171875],[ 11189.01953125],[ 11179.79101562],[ 11173.7421875],[ 11169.77539062]
[ 15151.90527344],[ 15058.11816406],[ 14992.18847656],[ 14943.41210938],[ 14906.00195312],[ 14876.54101562],[ 14852.86914062],[ 14833.546875],[ 14817.57617188],[ 14804.24414062]
[ 5942.75634766],[ 5903.81689453],[ 5876.58496094],[ 5857.09619141],[ 5842.93994141],[ 5832.55566406],[ 5824.88623047],[ 5819.19580078],[ 5814.95996094],[ 5811.79931641]
[ 14426.50585938],[ 14265.56542969],[ 14155.61425781],[ 14078.60839844],[ 14023.75],[ 13984.20117188],[ 13955.44628906],[ 13934.41113281],[ 13918.95410156],[ 13907.55859375]
[ 8953.67773438],[ 8778.78808594],[ 8675.98925781],[ 8611.5234375],[ 8569.5234375],[ 8541.50097656],[ 8522.51367188],[ 8509.51660156],[ 8500.55859375],[ 8494.35449219]
[ 6948.21142578],[ 6789.83642578],[ 6698.7578125],[ 6642.25244141],[ 6605.62988281],[ 6581.24316406],[ 6564.71777344],[ 6553.38818359],[ 6545.56054688],[ 6540.12255859]
[ 13536.14746094],[ 13342.05859375],[ 13225.85742188],[ 13153.12792969],[ 13106.3671875],[ 13075.78808594],[ 13055.57421875],[ 13042.11425781],[ 13033.11035156],[ 13027.06738281]
[ 15678.55859375],[ 15535.44921875],[ 15430.45410156],[ 15350.86425781],[ 15289.12792969],[ 15240.44042969],[ 15201.56835938],[ 15170.24707031],[ 15144.83203125],[ 15124.09667969]
[ 7.97227621],[ 7.95856476],[ 7.95151329],[ 7.94781637],[ 7.94585848],[ 7.94481659],[ 7.94426012],[ 7.94396257],[ 7.94380331],[ 7.94371843]
[ 7600.38037109],[ 7562.19677734],[ 7536.47998047],[ 7518.53125],[ 7505.69628906],[ 7496.36328125],[ 7489.49365234],[ 7484.39355469],[ 7480.58203125],[ 7477.72021484]
[ 11227.13476562],[ 11060.9140625],[ 10967.57226562],[ 10909.58691406],[ 10871.56347656],[ 10845.81445312],[ 10828.01855469],[ 10815.55175781],[ 10806.73925781],[ 10800.46972656]
[ 4240.80322266],[ 4147.16894531],[ 4092.37695312],[ 4058.5769043],[ 4037.10351562],[ 4023.22192383],[ 4014.15234375],[ 4008.18676758],[ 4004.24584961],[ 4001.63525391]
[ 8774.38085938],[ 8741.16699219],[ 8707.78515625],[ 8674.70703125],[ 8642.42578125],[ 8611.42578125],[ 8582.14453125],[ 8554.94921875],[ 8530.10839844],[ 8507.78222656]
[ 7717.08496094],[ 6960.11181641],[ 6578.73486328],[ 6384.56152344],[ 6285.49462891],[ 6234.9453125],[ 6209.15722656],[ 6196.00341797],[ 6189.29541016],[ 6185.87304688]
[ 13063.78710938],[ 12879.74902344],[ 12777.46386719],[ 12715.81445312],[ 12676.98242188],[ 12651.88085938],[ 12635.39257812],[ 12624.45214844],[ 12617.14453125],[ 12612.2421875]
[ 14486.58691406],[ 14316.6796875],[ 14279.79492188],[ 14271.66894531],[ 14269.875],[ 14269.48046875],[ 14269.39257812],[ 14269.37304688],[ 14269.36816406],[ 14269.36621094]
[ 7103.54443359],[ 6931.36425781],[ 6845.39648438],[ 6799.15429688],[ 6773.39013672],[ 6758.7734375],[ 6750.39941406],[ 6745.57666016],[ 6742.78955078],[ 6741.17626953]
[ 7872.83984375],[ 7808.28125],[ 7781.54052734],[ 7769.76855469],[ 7764.46044922],[ 7762.04199219],[ 7760.93554688],[ 7760.42822266],[ 7760.19580078],[ 7760.08886719]
[ 8420.90234375],[ 8205.78027344],[ 8043.60107422],[ 7921.27734375],[ 7829.44042969],[ 7760.93359375],[ 7710.16064453],[ 7672.74902344],[ 7645.31396484],[ 7625.27197266]
[ 8714.14453125],[ 8577.67382812],[ 8504.49609375],[ 8461.19140625],[ 8434.27148438],[ 8417.06933594],[ 8405.89453125],[ 8398.56054688],[ 8393.71679688],[ 8390.50390625]
[ 7681.39306641],[ 7712.44677734],[ 7741.71191406],[ 7772.43994141],[ 7804.70410156],[ 7838.58105469],[ 7874.15087891],[ 7911.49902344],[ 7950.71435547],[ 7991.89013672]
[ 13089.63671875],[ 13058.26953125],[ 13035.54882812],[ 13018.72363281],[ 13006.06347656],[ 12996.42480469],[ 12989.02148438],[ 12983.29492188],[ 12978.84375],[ 12975.36914062]
[ 8618.57324219],[ 8466.89160156],[ 8380.24804688],[ 8327.47070312],[ 8294.125],[ 8272.58496094],[ 8258.47363281],[ 8249.14648438],[ 8242.9453125],[ 8238.80566406]
[ 6595.35546875],[ 6637.63916016],[ 6670.65478516],[ 6695.34130859],[ 6713.21240234],[ 6725.85107422],[ 6734.64355469],[ 6740.69091797],[ 6744.81738281],[ 6747.88574219]
[ 4518.578125],[ 4491.72753906],[ 4475.1640625],[ 4464.61132812],[ 4457.76855469],[ 4453.28613281],[ 4450.33154297],[ 4448.37695312],[ 4447.08056641],[ 4446.21972656]
[ 13595.68457031],[ 13622.09472656],[ 13642.04394531],[ 13656.99121094],[ 13668.12304688],[ 13676.37695312],[ 13682.47753906],[ 13686.97460938],[ 13690.28320312],[ 13692.71386719]
[ 6337.04248047],[ 6265.86962891],[ 6225.18164062],[ 6200.16455078],[ 6184.12158203],[ 6173.56298828],[ 6166.49804688],[ 6161.71923828],[ 6158.46337891],[ 6156.234375]
