Alexandra Hills,17558.00,17439.00,17343.00,17255.00,17254.00,17253.00,17306.00,17293.00,17347.00,17363.00,17292.00
Belmont - Gumdale,7114.00,7150.00,7339.00,7551.00,7692.00,7684.00,7766.00,7794.00,7884.00,7918.00,8000.00
Birkdale,14350.00,14448.00,14509.00,14505.00,14701.00,14803.00,14914.00,15046.00,15141.00,15184.00,15213.00
Capalaba,17580.00,17528.00,17497.00,17478.00,17464.00,17495.00,17557.00,17651.00,17680.00,17680.00,17988.00
Thorneside,3531.00,3558.00,3560.00,3598.00,3603.00,3615.00,3672.00,3700.00,3737.00,3822.00,3803.00
Wellington Point,10271.00,10445.00,10620.00,10921.00,11135.00,11254.00,11397.00,11648.00,11739.00,11788.00,11967.00
Cleveland,13822.00,13931.00,14038.00,14343.00,14680.00,14807.00,15033.00,15208.00,15372.00,15496.00,15296.00
Ormiston,5535.00,5582.00,5674.00,5741.00,5805.00,5801.00,5830.00,5922.00,5947.00,6015.00,6060.00
Redland Bay,10156.00,11056.00,11853.00,12718.00,13275.00,13698.00,14038.00,14301.00,14653.00,14808.00,15091.00
Redland Islands,7163.00,7298.00,7617.00,8014.00,8425.00,8688.00,8955.00,9077.00,9162.00,9368.00,9472.00
Sheldon - Mount Cotton,4929.00,4980.00,5258.00,5611.00,6175.00,6406.00,6717.00,6976.00,7194.00,7470.00,7668.00
Thornlands,10180.00,10761.00,11710.00,12245.00,12782.00,13034.00,13294.00,13581.00,13720.00,14086.00,14355.00
Victoria Point,13821.00,13992.00,14199.00,14640.00,14861.00,15000.00,15307.00,15617.00,15885.00,15939.00,16107.00
Brisbane Port - Lytton,7.00,7.00,7.00,7.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
Manly - Lota,6907.00,7002.00,7080.00,7159.00,7288.00,7361.00,7436.00,7609.00,7681.00,7702.00,7783.00
Manly West,10209.00,10287.00,10390.00,10537.00,10782.00,10915.00,11037.00,11251.00,11386.00,11685.00,11768.00
Murarrie,3435.00,3578.00,3815.00,3995.00,4083.00,4097.00,4152.00,4276.00,4322.00,4434.00,4458.00
Tingalpa,8038.00,8106.00,8297.00,8461.00,8646.00,8737.00,8843.00,8847.00,8916.00,8816.00,8807.00
Wakerley,3421.00,3983.00,4930.00,5927.00,6833.00,7374.00,7960.00,8337.00,8876.00,9386.00,9569.00
Wynnum,11713.00,11945.00,12168.00,12288.00,12575.00,12715.00,12992.00,13252.00,13453.00,13548.00,13652.00
Wynnum West - Hemmant,13791.00,13839.00,13933.00,14141.00,14411.00,14699.00,14825.00,15115.00,15309.00,15466.00,15439.00
Bald Hills,6034.00,6105.00,6299.00,6541.00,7008.00,7143.00,7161.00,7214.00,7532.00,7519.00,7518.00
Bridgeman Downs,7411.00,7504.00,7581.00,7646.00,7835.00,7924.00,7956.00,7940.00,8048.00,8093.00,8115.00
Carseldine,6667.00,6904.00,7112.00,7329.00,7612.00,7814.00,8077.00,8180.00,8468.00,8727.00,8834.00
Everton Park,7848.00,7911.00,8048.00,8161.00,8416.00,8549.00,8619.00,8792.00,8957.00,9141.00,9224.00
McDowall,7130.00,7127.00,7185.00,7232.00,7324.00,7367.00,7391.00,7551.00,7655.00,7644.00,7712.00
Aspley,12210.00,12208.00,12439.00,12570.00,12705.00,12784.00,12859.00,13101.00,13068.00,13169.00,13256.00
Chermside,6474.00,6496.00,6878.00,7317.00,7742.00,8058.00,8578.00,8782.00,9035.00,9191.00,9458.00
Chermside West,6097.00,6091.00,6100.00,6172.00,6295.00,6383.00,6402.00,6551.00,6593.00,6587.00,6744.00
Geebung,4299.00,4300.00,4340.00,4372.00,4408.00,4438.00,4458.00,4544.00,4583.00,4602.00,4679.00
Kedron - Gordon Park,11877.00,12064.00,12140.00,12469.00,12756.00,12943.00,13153.00,13395.00,13513.00,13659.00,13947.00
Stafford,5648.00,5659.00,5733.00,5862.00,6024.00,6165.00,6280.00,6373.00,6506.00,6577.00,6690.00
Stafford Heights,6984.00,6964.00,6962.00,6954.00,6958.00,6974.00,7003.00,7038.00,7187.00,7260.00,7438.00
Wavell Heights,8858.00,9003.00,9184.00,9275.00,9516.00,9663.00,9813.00,10002.00,10111.00,10165.00,10182.00
Boondall,8689.00,8765.00,8783.00,8881.00,8948.00,9000.00,9052.00,9151.00,9428.00,9589.00,9680.00
Brisbane Airport,55.00,55.00,60.00,69.00,79.00,92.00,104.00,97.00,130.00,130.00,130.00
Eagle Farm - Pinkenba,295.00,296.00,296.00,290.00,289.00,289.00,279.00,287.00,298.00,299.00,307.00
Northgate - Virginia,5791.00,5864.00,5996.00,6183.00,6325.00,6432.00,6594.00,6692.00,6860.00,6940.00,7026.00
Nudgee - Banyo,7365.00,7511.00,7727.00,8129.00,8499.00,8779.00,9035.00,9224.00,9448.00,9666.00,9730.00
Nundah,8397.00,8564.00,9073.00,9577.00,10131.00,10575.00,10896.00,11136.00,11268.00,11506.00,11816.00
Bracken Ridge,15650.00,15776.00,16154.00,16723.00,17130.00,17344.00,17390.00,17665.00,17748.00,17889.00,17814.00
Brighton (Qld),8827.00,8818.00,8904.00,9038.00,9171.00,9247.00,9357.00,9411.00,9635.00,9695.00,9798.00
Deagon,3176.00,3185.00,3288.00,3364.00,3450.00,3498.00,3577.00,3622.00,3685.00,3679.00,3700.00
Sandgate - Shorncliffe,6571.00,6639.00,6646.00,6663.00,6702.00,6750.00,6796.00,6866.00,6902.00,7071.00,7079.00
Taigum - Fitzgibbon,7467.00,7830.00,8227.00,8499.00,8719.00,8902.00,9250.00,9736.00,10109.00,10759.00,11500.00
Zillmere,7521.00,7581.00,7614.00,7871.00,7967.00,8158.00,8402.00,8541.00,8856.00,9038.00,9212.00
Camp Hill,9995.00,10135.00,10387.00,10564.00,10645.00,10737.00,10918.00,11091.00,11278.00,11413.00,11517.00
Cannon Hill,4051.00,4175.00,4339.00,4535.00,4627.00,4738.00,4751.00,4870.00,4975.00,5011.00,5145.00
Carina,8846.00,9217.00,9699.00,10049.00,10260.00,10467.00,10707.00,10860.00,11009.00,11033.00,11272.00
Carina Heights,5878.00,5904.00,5952.00,6126.00,6241.00,6290.00,6364.00,6454.00,6541.00,6606.00,6727.00
Carindale,15504.00,15662.00,15706.00,15897.00,16131.00,16196.00,16270.00,16436.00,16473.00,16561.00,16714.00
Annerley,9842.00,10063.00,10283.00,10586.00,10842.00,11046.00,11273.00,11422.00,11583.00,11725.00,11804.00
Coorparoo,14305.00,14349.00,14584.00,14905.00,15194.00,15433.00,15694.00,15931.00,16026.00,16270.00,16367.00
Fairfield - Dutton Park,4013.00,4112.00,4123.00,4156.00,4219.00,4240.00,4287.00,4426.00,4754.00,4818.00,4765.00
Greenslopes,8196.00,8390.00,8581.00,8716.00,8861.00,8977.00,9066.00,9409.00,9527.00,9649.00,9720.00
Holland Park,7647.00,7761.00,7789.00,7864.00,7985.00,8075.00,8163.00,8253.00,8409.00,8508.00,8539.00
Holland Park West,5621.00,5711.00,5814.00,5940.00,6076.00,6136.00,6238.00,6340.00,6402.00,6496.00,6621.00
Woolloongabba,3957.00,4045.00,4119.00,4382.00,4627.00,4787.00,5082.00,5348.00,5741.00,5899.00,6113.00
Yeronga,7723.00,7856.00,8041.00,8220.00,8583.00,8741.00,8848.00,9059.00,9218.00,9283.00,9497.00
Eight Mile Plains,12249.00,12508.00,12933.00,13380.00,14092.00,14414.00,14777.00,15069.00,15413.00,15775.00,15995.00
Macgregor (Qld),5545.00,5576.00,5601.00,5623.00,5691.00,5788.00,5889.00,5906.00,5964.00,5991.00,5994.00
Mansfield (Qld),8530.00,8608.00,8638.00,8681.00,8744.00,8779.00,8835.00,8974.00,9018.00,8948.00,8934.00
Mount Gravatt,13515.00,13710.00,13832.00,14048.00,14284.00,14421.00,14663.00,14833.00,15086.00,15247.00,15368.00
Rochedale - Burbank,4179.00,4182.00,4184.00,4183.00,4194.00,4222.00,4273.00,4372.00,4510.00,4663.00,4988.00
Upper Mount Gravatt,7832.00,8121.00,8521.00,8693.00,8917.00,9085.00,9296.00,9399.00,9475.00,9743.00,9848.00
Wishart,10503.00,10611.00,10701.00,10795.00,10817.00,10823.00,10891.00,11101.00,11051.00,11012.00,11022.00
Coopers Plains,4404.00,4469.00,4539.00,4594.00,4686.00,4742.00,4790.00,4911.00,5026.00,5092.00,5167.00
Moorooka,9262.00,9450.00,9529.00,9781.00,10015.00,10233.00,10396.00,10598.00,10641.00,10797.00,10889.00
Robertson,4958.00,5020.00,5002.00,5003.00,5061.00,5087.00,5147.00,5216.00,5274.00,5287.00,5295.00
Salisbury - Nathan,6708.00,6851.00,6925.00,7023.00,7213.00,7292.00,7452.00,7549.00,7649.00,7670.00,7783.00
Tarragindi,9521.00,9667.00,9752.00,9928.00,10141.00,10238.00,10371.00,10510.00,10632.00,10809.00,10928.00
Algester,7793.00,7969.00,8242.00,8363.00,8417.00,8495.00,8578.00,8612.00,8785.00,8892.00,8999.00
Calamvale - Stretton,14434.00,14881.00,15872.00,17006.00,18235.00,18940.00,19413.00,20130.00,20722.00,21180.00,21644.00
Pallara - Willawong,1187.00,1780.00,2192.00,2596.00,3086.00,3528.00,3896.00,4149.00,4243.00,4402.00,4598.00
Parkinson - Drewvale,11180.00,12173.00,13134.00,13880.00,14705.00,14778.00,14891.00,15229.00,15384.00,15529.00,15791.00
Rocklea - Acacia Ridge,9145.00,9178.00,9179.00,9182.00,9162.00,9135.00,9107.00,9174.00,9233.00,9387.00,9563.00
Kuraby,6796.00,6969.00,7306.00,7622.00,7816.00,7945.00,8077.00,8202.00,8353.00,8501.00,8679.00
Runcorn,12702.00,12898.00,13067.00,13301.00,13552.00,13680.00,13973.00,14277.00,14560.00,14804.00,14908.00
Sunnybank,8117.00,8223.00,8235.00,8248.00,8321.00,8388.00,8559.00,8691.00,8761.00,8853.00,8922.00
Sunnybank Hills,16489.00,16753.00,16741.00,17017.00,17322.00,17499.00,17837.00,18035.00,18244.00,18369.00,18540.00
Jindalee - Mount Ommaney,7548.00,7549.00,7591.00,7599.00,7591.00,7618.00,7626.00,7779.00,7819.00,7866.00,7731.00
Middle Park - Jamboree Heights,7496.00,7541.00,7530.00,7490.00,7461.00,7428.00,7362.00,7413.00,7547.00,7576.00,7466.00
Riverhills,4064.00,4077.00,4087.00,4059.00,4031.00,3997.00,3954.00,3988.00,4058.00,4081.00,4097.00
Seventeen Mile Rocks - Sinnamon Park,8503.00,8885.00,9212.00,9485.00,9717.00,9778.00,9849.00,9996.00,10012.00,10026.00,10162.00
Westlake,4755.00,4787.00,4707.00,4663.00,4645.00,4627.00,4594.00,4630.00,4661.00,4714.00,4673.00
Bellbowrie - Moggill,6752.00,7282.00,7782.00,8350.00,8920.00,9227.00,9357.00,9621.00,9931.00,10196.00,10318.00
Brookfield - Kenmore Hills,7107.00,7148.00,7149.00,7159.00,7197.00,7214.00,7201.00,7217.00,7316.00,7347.00,7373.00
Chapel Hill,10317.00,10335.00,10369.00,10435.00,10526.00,10576.00,10682.00,10771.00,10813.00,10849.00,10933.00
Fig Tree Pocket,3333.00,3425.00,3605.00,3721.00,3821.00,3846.00,3844.00,3920.00,3937.00,4006.00,4054.00
Kenmore,8482.00,8523.00,8615.00,8624.00,8671.00,8772.00,8847.00,8927.00,9025.00,9087.00,9116.00
Pinjarra Hills - Pullenvale,4864.00,4993.00,5130.00,5248.00,5455.00,5541.00,5596.00,5680.00,5753.00,5821.00,5886.00
Chelmer - Graceville,6833.00,6872.00,6871.00,6858.00,6844.00,6842.00,6841.00,6988.00,7113.00,7232.00,7336.00
Corinda,4482.00,4556.00,4683.00,4735.00,4809.00,4866.00,4914.00,5017.00,5065.00,5099.00,5133.00
Indooroopilly,10804.00,11137.00,11353.00,11650.00,11982.00,12202.00,12318.00,12390.00,12420.00,12573.00,12707.00
Sherwood,4806.00,4926.00,4975.00,5204.00,5406.00,5452.00,5481.00,5606.00,5718.00,5795.00,5859.00
St Lucia,10853.00,11135.00,11345.00,11521.00,11718.00,11818.00,11955.00,12423.00,12466.00,12500.00,12683.00
Taringa,7647.00,7863.00,8000.00,8127.00,8241.00,8343.00,8391.00,8452.00,8573.00,8675.00,8739.00
Enoggera,6520.00,6576.00,7006.00,7292.00,7527.00,7755.00,8005.00,8146.00,8294.00,8547.00,8727.00
Enoggera Reservoir,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00
Keperra,7212.00,7208.00,7226.00,7237.00,7254.00,7283.00,7298.00,7431.00,7400.00,7368.00,7388.00
Mitchelton,7134.00,7239.00,7407.00,7583.00,7707.00,7854.00,7938.00,8176.00,8372.00,8431.00,8563.00
Mount Coot-tha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The Gap,16112.00,16179.00,16216.00,16380.00,16574.00,16659.00,16666.00,16856.00,16971.00,17147.00,17220.00
Upper Kedron - Ferny Grove,8266.00,8405.00,8627.00,8773.00,9018.00,9252.00,9360.00,9457.00,9641.00,9791.00,9923.00
Brisbane City,6685.00,7455.00,8541.00,8668.00,8879.00,9000.00,9356.00,9657.00,9780.00,9889.00,10128.00
Fortitude Valley,4670.00,5082.00,5289.00,5430.00,5441.00,5451.00,5545.00,5562.00,5709.00,5870.00,6051.00
Highgate Hill,5619.00,5735.00,5767.00,5943.00,6039.00,6092.00,6164.00,6302.00,6420.00,6511.00,6599.00
Kangaroo Point,6936.00,7210.00,7255.00,7293.00,7352.00,7397.00,7527.00,7630.00,7790.00,8097.00,8351.00
New Farm,11802.00,12025.00,12109.00,12196.00,12249.00,12349.00,12512.00,12887.00,13343.00,13564.00,13822.00
South Brisbane,4081.00,4412.00,4866.00,5115.00,5325.00,5491.00,5770.00,5911.00,6217.00,6411.00,6698.00
Spring Hill,5052.00,5464.00,5701.00,5826.00,5900.00,5936.00,5987.00,5998.00,6038.00,6034.00,6093.00
West End,6425.00,6567.00,6795.00,7290.00,8012.00,8164.00,8531.00,8748.00,8829.00,9139.00,9413.00
Balmoral,3705.00,3797.00,3873.00,3961.00,3999.00,4019.00,4060.00,4121.00,4159.00,4196.00,4258.00
Bulimba,5064.00,5184.00,5430.00,5745.00,5946.00,6057.00,6245.00,6508.00,6644.00,6872.00,7009.00
East Brisbane,5368.00,5476.00,5685.00,5751.00,5784.00,5817.00,5874.00,5968.00,6079.00,6162.00,6189.00
