Coronation Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.21,93.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.57
93.94,196.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.71
196.21,104.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.81
104.55,118.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
118.56,98.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.57
98.86,189.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.86
189.77,106.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.71
106.44,200.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.38
200.76,105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.43
105.3,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
225,105.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1
105.68,201.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.19
201.89,101.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.14
101.89,193.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.52
193.94,104.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.29
104.92,227.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.76
227.27,102.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.1
102.65,170.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1
170.08,101.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.57
101.89,175.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.67
175.38,105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.38
105.3,175.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.29
175.38,100.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.71
100.76,131.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1
131.06,96.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1
96.59,101.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9
