"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"09:54","04:39"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"15:40","12:06"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"05:40","05:52"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"08:59","06:49"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"21:22","20:42"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"10:06","07:31"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"10:50","08:54"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"13:11","12:56"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"09:38","07:36"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"06:51","08:12"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"07:09","08:39"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"13:34","10:33"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"18:27","15:23"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"08:55","06:21"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"15:14","09:49"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:58","12:01"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"16:23","14:42"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"28:43","20:20"
